epoch,checkpoint,condition_key,condition_label,source_head,candidate_head,ablated_heads,spatial_relationship,spatial_relationship_loose,overall,overall_loose,unique_binding,exist_binding,color,shape,Dx_mean,Dx_abs_mean,Dy_mean,Dy_abs_mean,spatial_relationship_delta_from_baseline,spatial_relationship_loose_delta_from_baseline,overall_delta_from_baseline,overall_loose_delta_from_baseline,unique_binding_delta_from_baseline,exist_binding_delta_from_baseline,color_delta_from_baseline,shape_delta_from_baseline
4000,epoch_4000_step_160000.pth,baseline,Baseline,L0H0,,,0.48333333333333334,0.8366666666666667,0.48333333333333334,0.8366666666666667,0.8733333333333333,0.8733333333333333,0.9366666666666666,0.88,0.26717557251908397,49.54961832061068,2.6030534351145036,38.74045801526717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000,epoch_4000_step_160000.pth,src__0_5,Source only vs L0H5,L0H0,L0H5,L0H0,0.21,0.35333333333333333,0.21,0.35333333333333333,0.6,0.6,0.79,0.6166666666666667,-6.116666666666666,26.583333333333332,-10.283333333333333,27.86111111111111,0.2733333333333333,0.48333333333333334,0.2733333333333333,0.48333333333333334,0.2733333333333333,0.2733333333333333,0.1466666666666666,0.2633333333333333
4000,epoch_4000_step_160000.pth,cand__0_5,Candidate only L0H5,L0H0,L0H5,L0H5,0.49333333333333335,0.8433333333333334,0.49333333333333335,0.8433333333333334,0.8666666666666667,0.8733333333333333,0.9433333333333334,0.8866666666666667,-3.4461538461538463,46.13076923076923,1.3,41.146153846153844,-0.010000000000000009,-0.00666666666666671,-0.010000000000000009,-0.00666666666666671,0.006666666666666599,0.0,-0.00666666666666671,-0.00666666666666671
4000,epoch_4000_step_160000.pth,pair__0_5,Source + L0H5,L0H0,L0H5,L0H0+L0H5,0.21333333333333335,0.3566666666666667,0.21333333333333335,0.3566666666666667,0.58,0.58,0.7466666666666667,0.6133333333333333,-1.2126436781609196,23.603448275862068,-8.454022988505747,28.82183908045977,0.27,0.48,0.27,0.48,0.29333333333333333,0.29333333333333333,0.18999999999999995,0.2666666666666667
4000,epoch_4000_step_160000.pth,baseline,Baseline,L0H0,,,0.48333333333333334,0.8366666666666667,0.48333333333333334,0.8366666666666667,0.8733333333333333,0.8733333333333333,0.9366666666666666,0.88,0.26717557251908397,49.54961832061068,2.6030534351145036,38.74045801526717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000,epoch_4000_step_160000.pth,src__1_3,Source only vs L1H3,L0H0,L1H3,L0H0,0.21,0.35333333333333333,0.21,0.35333333333333333,0.6,0.6,0.79,0.6166666666666667,-6.116666666666666,26.583333333333332,-10.283333333333333,27.86111111111111,0.2733333333333333,0.48333333333333334,0.2733333333333333,0.48333333333333334,0.2733333333333333,0.2733333333333333,0.1466666666666666,0.2633333333333333
4000,epoch_4000_step_160000.pth,cand__1_3,Candidate only L1H3,L0H0,L1H3,L1H3,0.4666666666666667,0.8333333333333334,0.4666666666666667,0.8333333333333334,0.87,0.87,0.9266666666666666,0.87,0.13409961685823754,50.37931034482759,3.1915708812260535,39.076628352490424,0.016666666666666663,0.0033333333333332993,0.016666666666666663,0.0033333333333332993,0.0033333333333332993,0.0033333333333332993,0.010000000000000009,0.010000000000000009
4000,epoch_4000_step_160000.pth,pair__1_3,Source + L1H3,L0H0,L1H3,L0H0+L1H3,0.2,0.33666666666666667,0.2,0.33666666666666667,0.5766666666666667,0.5766666666666667,0.7266666666666667,0.5966666666666667,-6.618497109826589,26.86127167630058,-8.786127167630058,26.46242774566474,0.2833333333333333,0.5,0.2833333333333333,0.5,0.29666666666666663,0.29666666666666663,0.20999999999999996,0.2833333333333333
4000,epoch_4000_step_160000.pth,baseline,Baseline,L0H0,,,0.48333333333333334,0.8366666666666667,0.48333333333333334,0.8366666666666667,0.8733333333333333,0.8733333333333333,0.9366666666666666,0.88,0.26717557251908397,49.54961832061068,2.6030534351145036,38.74045801526717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000,epoch_4000_step_160000.pth,src__2_1,Source only vs L2H1,L0H0,L2H1,L0H0,0.21,0.35333333333333333,0.21,0.35333333333333333,0.6,0.6,0.79,0.6166666666666667,-6.116666666666666,26.583333333333332,-10.283333333333333,27.86111111111111,0.2733333333333333,0.48333333333333334,0.2733333333333333,0.48333333333333334,0.2733333333333333,0.2733333333333333,0.1466666666666666,0.2633333333333333
4000,epoch_4000_step_160000.pth,cand__2_1,Candidate only L2H1,L0H0,L2H1,L2H1,0.47333333333333333,0.81,0.47333333333333333,0.81,0.8466666666666667,0.8466666666666667,0.93,0.8466666666666667,-0.07480314960629922,51.145669291338585,2.97244094488189,39.18503937007874,0.010000000000000009,0.026666666666666616,0.010000000000000009,0.026666666666666616,0.026666666666666616,0.026666666666666616,0.006666666666666599,0.033333333333333326
4000,epoch_4000_step_160000.pth,pair__2_1,Source + L2H1,L0H0,L2H1,L0H0+L2H1,0.2,0.33666666666666667,0.2,0.33666666666666667,0.5733333333333334,0.5733333333333334,0.7633333333333333,0.5966666666666667,-6.476744186046512,27.988372093023255,-10.63953488372093,27.41860465116279,0.2833333333333333,0.5,0.2833333333333333,0.5,0.29999999999999993,0.29999999999999993,0.17333333333333334,0.2833333333333333
4000,epoch_4000_step_160000.pth,baseline,Baseline,L0H0,,,0.48333333333333334,0.8366666666666667,0.48333333333333334,0.8366666666666667,0.8733333333333333,0.8733333333333333,0.9366666666666666,0.88,0.26717557251908397,49.54961832061068,2.6030534351145036,38.74045801526717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000,epoch_4000_step_160000.pth,src__2_2,Source only vs L2H2,L0H0,L2H2,L0H0,0.21,0.35333333333333333,0.21,0.35333333333333333,0.6,0.6,0.79,0.6166666666666667,-6.116666666666666,26.583333333333332,-10.283333333333333,27.86111111111111,0.2733333333333333,0.48333333333333334,0.2733333333333333,0.48333333333333334,0.2733333333333333,0.2733333333333333,0.1466666666666666,0.2633333333333333
4000,epoch_4000_step_160000.pth,cand__2_2,Candidate only L2H2,L0H0,L2H2,L2H2,0.49333333333333335,0.8333333333333334,0.49333333333333335,0.8333333333333334,0.8733333333333333,0.8733333333333333,0.9333333333333333,0.8766666666666667,-0.5114503816793893,49.7557251908397,3.4083969465648853,38.43129770992366,-0.010000000000000009,0.0033333333333332993,-0.010000000000000009,0.0033333333333332993,0.0,0.0,0.0033333333333332993,0.0033333333333332993
4000,epoch_4000_step_160000.pth,pair__2_2,Source + L2H2,L0H0,L2H2,L0H0+L2H2,0.20666666666666667,0.35,0.20666666666666667,0.35,0.6066666666666667,0.6066666666666667,0.7966666666666666,0.62,-10.192307692307692,27.521978021978022,-10.406593406593407,28.21978021978022,0.27666666666666667,0.4866666666666667,0.27666666666666667,0.4866666666666667,0.2666666666666666,0.2666666666666666,0.14,0.26
4000,epoch_4000_step_160000.pth,baseline,Baseline,L0H0,,,0.48333333333333334,0.8366666666666667,0.48333333333333334,0.8366666666666667,0.8733333333333333,0.8733333333333333,0.9366666666666666,0.88,0.26717557251908397,49.54961832061068,2.6030534351145036,38.74045801526717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000,epoch_4000_step_160000.pth,src__1_2,Source only vs L1H2,L0H0,L1H2,L0H0,0.21,0.35333333333333333,0.21,0.35333333333333333,0.6,0.6,0.79,0.6166666666666667,-6.116666666666666,26.583333333333332,-10.283333333333333,27.86111111111111,0.2733333333333333,0.48333333333333334,0.2733333333333333,0.48333333333333334,0.2733333333333333,0.2733333333333333,0.1466666666666666,0.2633333333333333
4000,epoch_4000_step_160000.pth,cand__1_2,Candidate only L1H2,L0H0,L1H2,L1H2,0.45666666666666667,0.7766666666666666,0.45666666666666667,0.7766666666666666,0.82,0.83,0.8966666666666666,0.8433333333333334,4.195121951219512,48.78048780487805,2.6504065040650406,40.17886178861789,0.026666666666666672,0.06000000000000005,0.026666666666666672,0.06000000000000005,0.053333333333333344,0.043333333333333335,0.040000000000000036,0.036666666666666625
4000,epoch_4000_step_160000.pth,pair__1_2,Source + L1H2,L0H0,L1H2,L0H0+L1H2,0.11666666666666667,0.19666666666666666,0.11666666666666667,0.19666666666666666,0.3933333333333333,0.3933333333333333,0.5733333333333334,0.41333333333333333,-2.211864406779661,23.516949152542374,-13.474576271186441,30.88135593220339,0.3666666666666667,0.64,0.3666666666666667,0.64,0.48,0.48,0.3633333333333333,0.4666666666666667
