layer,d_layer0_spatial_relationship_loose,d_layerL_spatial_relationship_loose,d_both_spatial_relationship_loose,interaction_spatial_relationship_loose,d_layer0_color,d_layerL_color,d_both_color,interaction_color,d_layer0_shape,d_layerL_shape,d_both_shape,interaction_shape
1,0.43157894736842095,-0.04210526315789476,0.5315789473684209,0.14210526315789473,0.16842105263157914,-0.015789473684210464,0.07894736842105277,-0.07368421052631591,0.12105263157894741,-0.03157894736842115,0.010526315789473606,-0.07894736842105265
2,0.43157894736842095,-0.0052631578947369695,0.49999999999999994,0.07368421052631596,0.16842105263157914,-0.010526315789473606,0.32631578947368434,0.1684210526315788,0.12105263157894741,-0.0052631578947367474,0.24210526315789482,0.12631578947368416
3,0.43157894736842095,-0.015789473684210575,0.32105263157894726,-0.09473684210526312,0.16842105263157914,-0.010526315789473606,0.14210526315789485,-0.015789473684210686,0.12105263157894741,-0.021052631578947323,0.010526315789473606,-0.08947368421052648
4,0.43157894736842095,0.0052631578947369695,0.4842105263157893,0.04736842105263139,0.16842105263157914,-0.005263157894736636,0.23684210526315808,0.07368421052631557,0.12105263157894741,0.0,0.08947368421052637,-0.03157894736842104
5,0.43157894736842095,-0.0052631578947369695,0.40526315789473666,-0.021052631578947323,0.16842105263157914,0.0052631578947369695,0.17894736842105274,0.005263157894736636,0.12105263157894741,-0.010526315789473606,0.09473684210526323,-0.015789473684210575
