layer,head,cosine,projection,energy,abs_cosine,abs_projection,seed,epoch
0,0,-0.9238944053649902,-0.020166839495788184,0.021828077733516693,0.9238944053649902,0.020166839495788184,44,100
0,1,0.882826566696167,0.014009088730837461,0.015868449583649635,0.882826566696167,0.014009088730837461,44,100
0,2,-0.854248583316803,-0.029563600264676616,0.034607723355293274,0.854248583316803,0.029563600264676616,44,100
0,3,0.7781130075454712,0.011741347587318323,0.015089514665305614,0.7781130075454712,0.011741347587318323,44,100
0,4,0.777802586555481,0.012464606952974995,0.01602541282773018,0.777802586555481,0.012464606952974995,44,100
0,5,-0.8939465284347534,-0.012466567321593945,0.013945541344583035,0.8939465284347534,0.012466567321593945,44,100
1,0,0.6329011917114258,0.017839428481220058,0.028186753392219543,0.6329011917114258,0.017839428481220058,44,100
1,1,-0.6994442939758301,-0.018616950304075668,0.0266167763620615,0.6994442939758301,0.018616950304075668,44,100
1,2,0.8887030482292175,0.024779867390988076,0.027883179485797882,0.8887030482292175,0.024779867390988076,44,100
1,3,0.7442394495010376,0.007033063554363998,0.009450000710785389,0.7442394495010376,0.007033063554363998,44,100
1,4,-0.7580550909042358,-0.018173140621374543,0.02397337555885315,0.7580550909042358,0.018173140621374543,44,100
1,5,0.6746902465820312,0.005287298381579596,0.007836631499230862,0.6746902465820312,0.005287298381579596,44,100
2,0,0.7342202067375183,0.01485660208381056,0.02023453079164028,0.7342202067375183,0.01485660208381056,44,100
2,1,-0.6479765772819519,-0.011479192385714406,0.017715444788336754,0.6479765772819519,0.011479192385714406,44,100
2,2,0.8087539672851562,0.007411320214285224,0.009163875132799149,0.8087539672851562,0.007411320214285224,44,100
2,3,-0.7936174273490906,-0.012274762833953044,0.01546685304492712,0.7936174273490906,0.012274762833953044,44,100
2,4,-0.7289286851882935,-0.01247558103390866,0.017114952206611633,0.7289286851882935,0.01247558103390866,44,100
2,5,-0.7702512741088867,-0.005969996458434611,0.007750712335109711,0.7702512741088867,0.005969996458434611,44,100
3,0,-0.8028601408004761,-0.015189721345178032,0.01891951449215412,0.8028601408004761,0.015189721345178032,44,100
3,1,-0.7986598610877991,-0.015510240970601632,0.019420335069298744,0.7986598610877991,0.015510240970601632,44,100
3,2,0.7149074673652649,0.015437726469518959,0.02159402333199978,0.7149074673652649,0.015437726469518959,44,100
3,3,-0.7548415660858154,-0.010928308175817383,0.014477618969976902,0.7548415660858154,0.010928308175817383,44,100
3,4,0.8392833471298218,0.010363900911386543,0.012348514050245285,0.8392833471298218,0.010363900911386543,44,100
3,5,-0.8501335382461548,-0.01897077307195876,0.022315051406621933,0.8501335382461548,0.01897077307195876,44,100
4,0,0.8305045366287231,0.011004236196668465,0.013250062242150307,0.8305045366287231,0.011004236196668465,44,100
4,1,0.8716864585876465,0.010275052321638977,0.011787555180490017,0.8716864585876465,0.010275052321638977,44,100
4,2,-0.7083429098129272,-0.010131365022384011,0.014302910305559635,0.7083429098129272,0.010131365022384011,44,100
4,3,-0.7269518375396729,-0.02268587468114507,0.031206848099827766,0.7269518375396729,0.02268587468114507,44,100
4,4,0.7488335967063904,0.013169584699241746,0.01758679933845997,0.7488335967063904,0.013169584699241746,44,100
4,5,0.8422797918319702,0.012502472795885466,0.014843609184026718,0.8422797918319702,0.012502472795885466,44,100
5,0,-0.853927731513977,-0.01279570873235314,0.014984534122049809,0.853927731513977,0.01279570873235314,44,100
5,1,0.7092475295066833,0.009348107310242564,0.013180319219827652,0.7092475295066833,0.009348107310242564,44,100
5,2,-0.8406789898872375,-0.012410943428123395,0.01476299948990345,0.8406789898872375,0.012410943428123395,44,100
5,3,0.7361637353897095,0.010077182898793394,0.01368878036737442,0.7361637353897095,0.010077182898793394,44,100
5,4,0.8272700309753418,0.017673974934012553,0.02136421389877796,0.8272700309753418,0.017673974934012553,44,100
5,5,-0.8648533225059509,-0.024377109800486383,0.028186408802866936,0.8648533225059509,0.024377109800486383,44,100
0,0,0.7610800862312317,0.05971391903123722,0.07845944166183472,0.7610800862312317,0.05971391903123722,44,250
0,1,0.8625704050064087,0.04675547726422195,0.05420482158660889,0.8625704050064087,0.04675547726422195,44,250
0,2,-0.8854222893714905,-0.09544160748722647,0.1077921912074089,0.8854222893714905,0.09544160748722647,44,250
0,3,0.8063418865203857,0.062070881284298295,0.07697836309671402,0.8063418865203857,0.062070881284298295,44,250
0,4,0.74888014793396,0.04463986679826441,0.0596088245511055,0.74888014793396,0.04463986679826441,44,250
0,5,0.8792415857315063,0.10022016157799588,0.11398479342460632,0.8792415857315063,0.10022016157799588,44,250
1,0,0.849334180355072,0.01959084705541675,0.023066122084856033,0.849334180355072,0.01959084705541675,44,250
1,1,0.7157332301139832,0.05402124507400857,0.07547679543495178,0.7157332301139832,0.05402124507400857,44,250
1,2,0.8901663422584534,0.06411632250369476,0.07202735543251038,0.8901663422584534,0.06411632250369476,44,250
1,3,-0.7274575233459473,-0.039753026331140175,0.05464652180671692,0.7274575233459473,0.039753026331140175,44,250
1,4,0.6277648210525513,0.036148568151421374,0.05758298560976982,0.6277648210525513,0.036148568151421374,44,250
1,5,-0.9223881363868713,-0.07792724862793096,0.08448421955108643,0.9223881363868713,0.07792724862793096,44,250
2,0,-0.6296379566192627,-0.039601819030870865,0.06289617717266083,0.6296379566192627,0.039601819030870865,44,250
2,1,0.6721724271774292,0.03187510329026435,0.04742102324962616,0.6721724271774292,0.03187510329026435,44,250
2,2,0.6127053499221802,0.06059124967927326,0.09889133274555206,0.6127053499221802,0.06059124967927326,44,250
2,3,0.7159299254417419,0.07485447781299875,0.10455559194087982,0.7159299254417419,0.07485447781299875,44,250
2,4,-0.7932682037353516,-0.02679306068886466,0.033775534480810165,0.7932682037353516,0.02679306068886466,44,250
2,5,-0.7649288177490234,-0.037971648756382696,0.04964075982570648,0.7649288177490234,0.037971648756382696,44,250
3,0,0.7525219321250916,0.06150361305898479,0.08173000067472458,0.7525219321250916,0.06150361305898479,44,250
3,1,-0.6727735996246338,-0.020175799427507052,0.029988987371325493,0.6727735996246338,0.020175799427507052,44,250
3,2,-0.6965416669845581,-0.05726544590651632,0.08221394568681717,0.6965416669845581,0.05726544590651632,44,250
3,3,0.6317554712295532,0.03600491138587741,0.05699183791875839,0.6317554712295532,0.03600491138587741,44,250
3,4,-0.7231345176696777,-0.03125689875985588,0.043224189430475235,0.7231345176696777,0.03125689875985588,44,250
3,5,-0.7567175626754761,-0.024624818519759166,0.03254162147641182,0.7567175626754761,0.024624818519759166,44,250
4,0,-0.7550868988037109,-0.04564703583404775,0.060452692210674286,0.7550868988037109,0.04564703583404775,44,250
4,1,-0.8801959753036499,-0.021486231873101766,0.024410737678408623,0.8801959753036499,0.021486231873101766,44,250
4,2,-0.8432486057281494,-0.04956992073212977,0.058784469962120056,0.8432486057281494,0.04956992073212977,44,250
4,3,0.6282641291618347,0.025088220002133007,0.03993259742856026,0.6282641291618347,0.025088220002133007,44,250
4,4,0.6982681155204773,0.08018341068312743,0.11483184248209,0.6982681155204773,0.08018341068312743,44,250
4,5,0.7992309331893921,0.06153585555694859,0.07699383795261383,0.7992309331893921,0.06153585555694859,44,250
5,0,0.7952176332473755,0.014718012269753744,0.018508154898881912,0.7952176332473755,0.014718012269753744,44,250
5,1,0.5714834332466125,0.030651737607004667,0.05363538861274719,0.5714834332466125,0.030651737607004667,44,250
5,2,0.8133642673492432,0.08002847809566227,0.09839192777872086,0.8133642673492432,0.08002847809566227,44,250
5,3,-0.8017848134040833,-0.05675465484616411,0.07078539580106735,0.8017848134040833,0.05675465484616411,44,250
5,4,0.886926531791687,0.049544169220468615,0.05586051195859909,0.886926531791687,0.049544169220468615,44,250
5,5,0.9076277613639832,0.029737879959305012,0.03276440128684044,0.9076277613639832,0.029737879959305012,44,250
0,0,0.7661070823669434,0.14197539238325851,0.18532054126262665,0.7661070823669434,0.14197539238325851,44,500
0,1,0.8248345851898193,0.21860759663990706,0.2650320529937744,0.8248345851898193,0.21860759663990706,44,500
0,2,0.6352878212928772,0.44878991367404364,0.70643550157547,0.6352878212928772,0.44878991367404364,44,500
0,3,-0.7179241180419922,-0.6833562495287239,0.951850175857544,0.7179241180419922,0.6833562495287239,44,500
0,4,-0.5921680927276611,-0.17454194635727058,0.2947506606578827,0.5921680927276611,0.17454194635727058,44,500
0,5,0.8526140451431274,0.34369496886013057,0.40310734510421753,0.8526140451431274,0.34369496886013057,44,500
1,0,0.6421962976455688,0.06438885188089301,0.10026349872350693,0.6421962976455688,0.06438885188089301,44,500
1,1,0.9374947547912598,0.2675670069362414,0.2854064106941223,0.9374947547912598,0.2675670069362414,44,500
1,2,0.741399884223938,0.2996932017475263,0.4042261242866516,0.741399884223938,0.2996932017475263,44,500
1,3,-0.7215359807014465,-0.17960636613775116,0.24892225861549377,0.7215359807014465,0.17960636613775116,44,500
1,4,0.8719913363456726,0.1845236911098754,0.2116118222475052,0.8719913363456726,0.1845236911098754,44,500
1,5,0.8079005479812622,0.28395995720761213,0.3514788746833801,0.8079005479812622,0.28395995720761213,44,500
2,0,-0.7222431898117065,-0.0794676305754439,0.11002891510725021,0.7222431898117065,0.0794676305754439,44,500
