label,n_ablated,spatial_relationship_loose,color,shape,unique_binding,exist_binding,elapsed_s
baseline,0,0.9210526315789473,0.9789473684210527,0.9421052631578948,0.9368421052631579,0.9368421052631579,3.6595780849456787
layer0,6,0.48947368421052634,0.8105263157894737,0.8210526315789474,0.7,0.7,3.057223081588745
layer0_layer1,12,0.3894736842105263,0.9,0.9315789473684211,0.8210526315789474,0.8368421052631579,3.163775682449341
layer0_layer2,12,0.42105263157894735,0.6526315789473685,0.7,0.5789473684210527,0.5789473684210527,3.09698748588562
layer0_layer3,12,0.6,0.8368421052631579,0.9315789473684211,0.8157894736842105,0.8157894736842105,3.094977378845215
layer0_layer4,12,0.4368421052631579,0.7421052631578947,0.8526315789473684,0.6526315789473685,0.6526315789473685,3.0798463821411133
layer0_layer5,12,0.5157894736842106,0.8,0.8473684210526315,0.7052631578947368,0.7052631578947368,3.079963445663452
