epoch,step,layer,head,abs_cosine,abs_projection,projection,energy,r2_total
100,4000,0,0,0.848597526550293,0.04733589432778016,0.04733589432778016,0.055781323462724686,0.931840846840812
100,4000,0,1,0.7740626335144043,0.04715817304980267,0.04715817304980267,0.06092293933033943,0.931840846840812
100,4000,0,2,0.8795231580734253,0.04011387926413836,0.04011387926413836,0.04560866579413414,0.931840846840812
100,4000,0,3,0.9215143918991089,0.054816725493152696,0.054816725493152696,0.059485483914613724,0.931840846840812
100,4000,0,4,0.8687039613723755,0.08510704750060076,0.08510704750060076,0.0979701355099678,0.931840846840812
100,4000,0,5,0.8046258091926575,0.055931016976839464,0.055931016976839464,0.06951183825731277,0.931840846840812
100,4000,1,0,0.6664151549339294,0.0486770187303043,0.0486770187303043,0.0730430856347084,0.931840846840812
100,4000,1,1,0.9321843981742859,0.058300379702559954,-0.058300379702559954,0.06254168599843979,0.931840846840812
100,4000,1,2,0.6293529868125916,0.029956690839776125,-0.029956690839776125,0.0475991852581501,0.931840846840812
100,4000,1,3,0.8223264813423157,0.02565466148670418,-0.02565466148670418,0.03119765967130661,0.931840846840812
100,4000,1,4,0.5588796138763428,0.01927731066955071,0.01927731066955071,0.03449278324842453,0.931840846840812
100,4000,1,5,0.5830976366996765,0.03347903870305333,-0.03347903870305333,0.05741582810878754,0.931840846840812
100,4000,2,0,0.8369330763816833,0.06553075437573201,0.06553075437573201,0.07829868793487549,0.931840846840812
100,4000,2,1,0.7460421323776245,0.06963340867824325,-0.06963340867824325,0.09333710372447968,0.931840846840812
100,4000,2,2,0.8827693462371826,0.13435095956369925,-0.13435095956369925,0.1521926075220108,0.931840846840812
100,4000,2,3,0.779785692691803,0.06896576232423537,-0.06896576232423537,0.08844193816184998,0.931840846840812
100,4000,2,4,0.802640974521637,0.06664250642749253,-0.06664250642749253,0.08302902430295944,0.931840846840812
100,4000,2,5,0.7960342168807983,0.1132277502884627,0.1132277502884627,0.1422397941350937,0.931840846840812
100,4000,3,0,0.7528749704360962,0.02581538018836527,0.02581538018836527,0.03428906574845314,0.931840846840812
100,4000,3,1,0.8201475739479065,0.03599229955824838,0.03599229955824838,0.04388514906167984,0.931840846840812
100,4000,3,2,0.7876186966896057,0.022915773072413246,-0.022915773072413246,0.029095008969306946,0.931840846840812
100,4000,3,3,0.8197131752967834,0.030691331259937796,0.030691331259937796,0.037441547960042953,0.931840846840812
100,4000,3,4,0.5958786010742188,0.05939712058324686,0.05939712058324686,0.09967988729476929,0.931840846840812
100,4000,3,5,0.6252627968788147,0.022877986267534445,-0.022877986267534445,0.03658939525485039,0.931840846840812
100,4000,4,0,0.7693142294883728,0.046507070188249656,-0.046507070188249656,0.06045263260602951,0.931840846840812
100,4000,4,1,0.8006047606468201,0.06709540669209901,0.06709540669209901,0.08380591124296188,0.931840846840812
100,4000,4,2,0.8528742790222168,0.0202506007206743,0.0202506007206743,0.023743946105241776,0.931840846840812
100,4000,4,3,0.7695164680480957,0.048161082463269,0.048161082463269,0.06258616596460342,0.931840846840812
100,4000,4,4,0.729512095451355,0.06480407899616235,-0.06480407899616235,0.08883208781480789,0.931840846840812
100,4000,4,5,0.798283040523529,0.03780473484170029,-0.03780473484170029,0.04735755920410156,0.931840846840812
100,4000,5,0,0.7529525756835938,0.02214892279724184,-0.02214892279724184,0.029416093602776527,0.931840846840812
100,4000,5,1,0.8487695455551147,0.04940513595863893,-0.04940513595863893,0.05820795148611069,0.931840846840812
100,4000,5,2,0.6399827599525452,0.025478310595404553,0.025478310595404553,0.03981092944741249,0.931840846840812
100,4000,5,3,0.538183867931366,0.019226130284370663,-0.019226130284370663,0.03572408854961395,0.931840846840812
100,4000,5,4,0.7271532416343689,0.023709578678596174,-0.023709578678596174,0.03260602802038193,0.931840846840812
100,4000,5,5,0.892211377620697,0.05138255893100397,0.05138255893100397,0.05759011581540108,0.931840846840812
250,10000,0,0,0.7776943445205688,0.0892202693365688,0.0892202693365688,0.11472409963607788,0.9713739618701669
250,10000,0,1,0.8010514974594116,0.069334886037716,-0.069334886037716,0.08655484765768051,0.9713739618701669
250,10000,0,2,0.8729087114334106,0.10159770554585375,-0.10159770554585375,0.11638983339071274,0.9713739618701669
250,10000,0,3,0.8895962238311768,0.06999242693663589,-0.06999242693663589,0.07867887616157532,0.9713739618701669
250,10000,0,4,0.8478866219520569,0.04807169834545564,0.04807169834545564,0.056695908308029175,0.9713739618701669
250,10000,0,5,0.7526940107345581,0.12631513008310316,-0.12631513008310316,0.1678173691034317,0.9713739618701669
250,10000,1,0,0.6294519305229187,0.08956098636911768,-0.08956098636911768,0.1422840654850006,0.9713739618701669
250,10000,1,1,0.8257557153701782,0.06293552049999226,-0.06293552049999226,0.07621566206216812,0.9713739618701669
250,10000,1,2,0.8667815923690796,0.12705387072831287,0.12705387072831287,0.14658118784427643,0.9713739618701669
250,10000,1,3,0.7463504076004028,0.1030714331148296,-0.1030714331148296,0.13810057938098907,0.9713739618701669
250,10000,1,4,0.8013679385185242,0.10191268295935114,0.10191268295935114,0.12717337906360626,0.9713739618701669
250,10000,1,5,0.6794028878211975,0.10733169167671053,0.10733169167671053,0.15797945857048035,0.9713739618701669
250,10000,2,0,0.7280381917953491,0.06981960587106861,0.06981960587106861,0.0959010198712349,0.9713739618701669
250,10000,2,1,0.7876592874526978,0.08621451064090528,0.08621451064090528,0.10945659130811691,0.9713739618701669
250,10000,2,2,0.8742334842681885,0.11508726534317949,-0.11508726534317949,0.1316436231136322,0.9713739618701669
250,10000,2,3,0.796035647392273,0.07294539372589097,0.07294539372589097,0.09163583815097809,0.9713739618701669
250,10000,2,4,0.6482025384902954,0.05966175903661433,-0.05966175903661433,0.09204184263944626,0.9713739618701669
250,10000,2,5,0.8422112464904785,0.13633268328379866,0.13633268328379866,0.1618746817111969,0.9713739618701669
250,10000,3,0,0.6907542943954468,0.051890115153351575,-0.051890115153351575,0.0751209482550621,0.9713739618701669
250,10000,3,1,0.8514508605003357,0.082673219901971,0.082673219901971,0.09709687530994415,0.9713739618701669
250,10000,3,2,0.635464072227478,0.059892224679255326,-0.059892224679255326,0.09424959123134613,0.9713739618701669
250,10000,3,3,0.7448246479034424,0.09265440716812337,0.09265440716812337,0.12439759075641632,0.9713739618701669
250,10000,3,4,0.7026148438453674,0.10868710409087534,-0.10868710409087534,0.15468944609165192,0.9713739618701669
250,10000,3,5,0.7806259393692017,0.05928732855963569,-0.05928732855963569,0.07594843953847885,0.9713739618701669
250,10000,4,0,0.5791885852813721,0.07062928731762044,-0.07062928731762044,0.12194523215293884,0.9713739618701669
250,10000,4,1,0.6778755187988281,0.05987239552416533,0.05987239552416533,0.08832358568906784,0.9713739618701669
250,10000,4,2,0.7897917628288269,0.12038505896149174,-0.12038505896149174,0.1524263173341751,0.9713739618701669
250,10000,4,3,0.8910394906997681,0.12589561247080203,0.12589561247080203,0.14129070937633514,0.9713739618701669
250,10000,4,4,0.7641894817352295,0.12411798083317344,-0.12411798083317344,0.16241781413555145,0.9713739618701669
250,10000,4,5,0.8426605463027954,0.10127795685535015,-0.10127795685535015,0.12018833309412003,0.9713739618701669
250,10000,5,0,0.6055402755737305,0.06685704871391258,-0.06685704871391258,0.11040891706943512,0.9713739618701669
