set,condition,n_prompts,mean,ci_lo,ci_hi
synonym,baseline,7,0.7857142857142857,0.6571428571428573,0.9
synonym,ablate_L0H0,7,0.6,0.4857142857142857,0.7142857142857144
synonym,ablate_L1H2,7,0.7142857142857143,0.5428571428571428,0.8857142857142858
synonym,ablate_L0H2_control,7,0.8714285714285713,0.7571428571428571,0.9714285714285715
unseen_pair,baseline,12,0.7999999999999999,0.6916666666666665,0.9
unseen_pair,ablate_L0H0,12,0.2916666666666667,0.19166666666666668,0.40833333333333327
unseen_pair,ablate_L1H2,12,0.75,0.5997916666666666,0.875
unseen_pair,ablate_L0H2_control,12,0.8583333333333334,0.7666666666666666,0.9416666666666665
