variant,condition,spatial_relationship_loose,color,shape,unique_binding,elapsed_s
vanilla,baseline,0.825,0.8791666666666667,0.8583333333333333,0.825,4.2455573081970215
vanilla,L0H0_ablated,0.325,0.5916666666666667,0.6166666666666667,0.475,3.8322761058807373
distract,baseline,0.4166666666666667,1.0,0.9833333333333333,0.9791666666666666,3.7936160564422607
distract,L0H0_ablated,0.3458333333333333,0.9666666666666667,0.8833333333333333,0.8583333333333333,3.8330790996551514
adj,baseline,0.38333333333333336,0.9625,0.95,0.9375,3.7946958541870117
adj,L0H0_ablated,0.24166666666666667,0.7666666666666667,0.7666666666666667,0.65,3.884291410446167
syntax,baseline,0.4041666666666667,0.9916666666666667,0.9583333333333334,0.95,3.853407382965088
syntax,L0H0_ablated,0.31666666666666665,0.9375,0.9041666666666667,0.8916666666666667,4.018144845962524
