label,n_ablated,spatial_relationship_loose,spatial_relationship,color,shape,unique_binding,exist_binding,elapsed_s
baseline,0,0.8366666666666667,0.48333333333333334,0.9366666666666666,0.88,0.8733333333333333,0.8733333333333333,5.367350816726685
L0H0,1,0.35333333333333333,0.21,0.79,0.6166666666666667,0.6,0.6,4.783277750015259
L1H2,1,0.7766666666666666,0.45666666666666667,0.8966666666666666,0.8433333333333334,0.82,0.83,4.909679174423218
L0H0_L1H2,2,0.19666666666666666,0.11666666666666667,0.5733333333333334,0.41333333333333333,0.3933333333333333,0.3933333333333333,4.869940996170044
top4_consensus,4,0.14,0.08666666666666667,0.45666666666666667,0.35333333333333333,0.31333333333333335,0.31333333333333335,4.869754791259766
top6_consensus,6,0.13,0.07666666666666666,0.44333333333333336,0.35333333333333333,0.30666666666666664,0.30666666666666664,5.0127458572387695
random_ctrl_1,1,0.8433333333333334,0.48,0.94,0.8866666666666667,0.88,0.88,4.899644136428833
random_ctrl_2,1,0.8566666666666667,0.49666666666666665,0.9566666666666667,0.8866666666666667,0.8866666666666667,0.8866666666666667,4.911737680435181
random_ctrl_3,1,0.8333333333333334,0.4866666666666667,0.94,0.8766666666666667,0.87,0.87,4.953975677490234
random_ctrl_4,1,0.8266666666666667,0.48,0.9333333333333333,0.8666666666666667,0.8633333333333333,0.8633333333333333,4.903854608535767
random_ctrl_5,1,0.84,0.4866666666666667,0.94,0.8766666666666667,0.8766666666666667,0.8766666666666667,4.836510896682739
all_36,36,0.023333333333333334,0.016666666666666666,0.9,0.19666666666666666,0.1,0.1,5.323730945587158
